timestamp,location,latitude,longitude,pm25,pm10,temperature,humidity,wind_speed,wind_direction,device_id
2024-06-23T08:00:00Z,Los Angeles,34.0522,-118.2437,18.5,35.2,22.1,65,8.2,270,sensor_la_001
2024-06-23T09:00:00Z,Los Angeles,34.0522,-118.2437,21.3,38.7,23.4,62,9.1,275,sensor_la_001
2024-06-23T10:00:00Z,Los Angeles,34.0522,-118.2437,25.8,42.1,25.2,58,7.8,280,sensor_la_001
2024-06-23T11:00:00Z,Los Angeles,34.0522,-118.2437,29.4,48.3,27.1,55,6.5,285,sensor_la_001
2024-06-23T12:00:00Z,Los Angeles,34.0522,-118.2437,32.1,52.7,29.8,52,5.2,290,sensor_la_001
2024-06-23T13:00:00Z,Los Angeles,34.0522,-118.2437,35.7,58.9,31.5,48,4.8,295,sensor_la_001
2024-06-23T14:00:00Z,Los Angeles,34.0522,-118.2437,38.2,63.4,33.2,45,4.1,300,sensor_la_001
2024-06-23T15:00:00Z,Los Angeles,34.0522,-118.2437,41.8,68.7,34.1,42,3.9,305,sensor_la_001
2024-06-23T16:00:00Z,Los Angeles,34.0522,-118.2437,45.3,74.2,35.8,39,3.2,310,sensor_la_001
2024-06-23T17:00:00Z,Los Angeles,34.0522,-118.2437,48.7,79.8,36.5,37,2.8,315,sensor_la_001
2024-06-23T18:00:00Z,Los Angeles,34.0522,-118.2437,44.1,71.3,35.2,40,3.5,320,sensor_la_001
2024-06-23T19:00:00Z,Los Angeles,34.0522,-118.2437,39.6,64.7,33.8,43,4.2,325,sensor_la_001
2024-06-23T20:00:00Z,Los Angeles,34.0522,-118.2437,33.2,55.9,31.4,47,5.1,330,sensor_la_001
2024-06-23T21:00:00Z,Los Angeles,34.0522,-118.2437,28.7,48.2,28.9,51,6.8,335,sensor_la_001
2024-06-23T22:00:00Z,Los Angeles,34.0522,-118.2437,24.3,41.6,26.7,55,7.9,340,sensor_la_001
2024-06-23T23:00:00Z,Los Angeles,34.0522,-118.2437,20.1,36.8,24.2,59,8.7,345,sensor_la_001
2024-06-24T00:00:00Z,Los Angeles,34.0522,-118.2437,16.9,32.4,21.8,63,9.4,350,sensor_la_001
2024-06-24T01:00:00Z,Los Angeles,34.0522,-118.2437,14.2,28.9,20.1,67,10.1,355,sensor_la_001
2024-06-24T02:00:00Z,Los Angeles,34.0522,-118.2437,12.8,26.3,18.7,71,10.8,360,sensor_la_001
2024-06-24T03:00:00Z,Los Angeles,34.0522,-118.2437,11.5,24.1,17.4,74,11.2,5,sensor_la_001
2024-06-24T04:00:00Z,Los Angeles,34.0522,-118.2437,10.3,22.7,16.8,77,11.7,10,sensor_la_001
2024-06-24T05:00:00Z,Los Angeles,34.0522,-118.2437,9.8,21.5,16.2,79,12.1,15,sensor_la_001
2024-06-24T06:00:00Z,Los Angeles,34.0522,-118.2437,10.9,23.8,17.1,76,11.8,20,sensor_la_001
2024-06-24T07:00:00Z,Los Angeles,34.0522,-118.2437,13.4,27.2,18.9,72,10.9,25,sensor_la_001
2024-06-24T08:00:00Z,San Francisco,37.7749,-122.4194,12.3,24.1,16.8,78,14.2,240,sensor_sf_001
2024-06-24T09:00:00Z,San Francisco,37.7749,-122.4194,14.7,28.3,18.2,74,15.8,245,sensor_sf_001
2024-06-24T10:00:00Z,San Francisco,37.7749,-122.4194,16.9,31.7,19.8,71,16.9,250,sensor_sf_001
2024-06-24T11:00:00Z,San Francisco,37.7749,-122.4194,19.2,35.4,21.3,68,17.3,255,sensor_sf_001
2024-06-24T12:00:00Z,San Francisco,37.7749,-122.4194,21.8,38.9,22.7,65,18.1,260,sensor_sf_001
2024-06-24T13:00:00Z,San Francisco,37.7749,-122.4194,24.1,42.6,24.1,62,18.7,265,sensor_sf_001
2024-06-24T14:00:00Z,San Francisco,37.7749,-122.4194,26.3,45.8,25.4,59,19.2,270,sensor_sf_001
2024-06-24T15:00:00Z,San Francisco,37.7749,-122.4194,28.7,49.3,26.8,56,19.8,275,sensor_sf_001
2024-06-24T16:00:00Z,San Francisco,37.7749,-122.4194,31.2,52.7,28.1,53,20.3,280,sensor_sf_001
2024-06-24T17:00:00Z,San Francisco,37.7749,-122.4194,29.8,50.4,27.3,55,19.7,285,sensor_sf_001
2024-06-24T18:00:00Z,San Francisco,37.7749,-122.4194,27.4,46.9,25.9,58,18.9,290,sensor_sf_001
2024-06-24T19:00:00Z,San Francisco,37.7749,-122.4194,24.9,43.2,24.6,61,18.1,295,sensor_sf_001
2024-06-24T20:00:00Z,San Francisco,37.7749,-122.4194,22.6,39.8,23.2,64,17.4,300,sensor_sf_001
2024-06-24T21:00:00Z,San Francisco,37.7749,-122.4194,20.1,36.7,21.8,67,16.8,305,sensor_sf_001
2024-06-24T22:00:00Z,San Francisco,37.7749,-122.4194,17.9,33.2,20.4,70,16.2,310,sensor_sf_001
2024-06-24T23:00:00Z,San Francisco,37.7749,-122.4194,15.8,29.9,19.1,73,15.7,315,sensor_sf_001
